epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10706,0.54388,0.86484,1.15505,0.78212,0.78947,0.73557,0.55982,0.95332,1.28375,1.61514,0.0011882,0.0011882,0.0011882
43,10818.8,0.5684,0.83696,1.18212,0.70221,0.78947,0.75013,0.58399,0.859,1.34479,1.60075,0.0011684,0.0011684,0.0011684
44,10926.4,0.56103,0.85471,1.16839,0.74057,0.78947,0.74538,0.59204,0.85993,1.33283,1.64228,0.0011486,0.0011486,0.0011486
45,11033.8,0.49299,0.8383,1.15717,0.77388,0.73684,0.75536,0.60071,0.88929,1.51926,1.74248,0.0011288,0.0011288,0.0011288
46,11141.4,0.54508,0.77335,1.18953,0.80182,0.63158,0.73445,0.58779,0.90213,1.8421,1.75789,0.001109,0.001109,0.001109
47,11249.2,0.54057,0.8076,1.17592,0.78104,0.78947,0.69862,0.56958,1.08864,1.81447,1.82059,0.0010892,0.0010892,0.0010892
48,11357.3,0.58271,0.83323,1.18115,0.81921,0.63158,0.70276,0.53257,1.15725,1.6167,1.94735,0.0010694,0.0010694,0.0010694
49,11465.2,0.54761,0.79903,1.16912,0.70326,0.63158,0.67133,0.554,1.17718,1.48392,2.00606,0.0010496,0.0010496,0.0010496
50,11572.7,0.49391,0.71098,1.09932,0.85664,0.63158,0.70848,0.5628,1.10252,1.53207,1.94572,0.0010298,0.0010298,0.0010298
51,11678.8,0.56428,0.81465,1.18587,0.79724,0.78947,0.74943,0.61918,1.04048,1.56008,1.88533,0.00101,0.00101,0.00101
52,11781.2,0.55554,0.77838,1.17869,0.73871,0.78947,0.71805,0.60176,0.91438,1.55411,1.72956,0.0009902,0.0009902,0.0009902
53,11883.1,0.4926,0.71225,1.13024,0.70975,0.78947,0.70311,0.54689,0.96833,1.54881,1.6857,0.0009704,0.0009704,0.0009704
54,11984.5,0.47978,0.72981,1.10784,0.81981,0.71908,0.71048,0.557,0.96062,1.57658,1.67632,0.0009506,0.0009506,0.0009506
55,12086,0.50504,0.75509,1.09113,0.7856,0.78947,0.69152,0.58708,0.85827,1.61196,1.65597,0.0009308,0.0009308,0.0009308
56,12187.4,0.48425,0.70041,1.12841,0.78625,0.78947,0.7033,0.58908,0.87355,1.62179,1.64887,0.000911,0.000911,0.000911
57,12289.7,0.48992,0.71414,1.12164,0.78628,0.78947,0.71543,0.6013,0.7648,1.56919,1.61201,0.0008912,0.0008912,0.0008912
58,12391.2,0.49794,0.72971,1.13229,0.78372,0.78947,0.69601,0.58663,0.72641,1.55306,1.56085,0.0008714,0.0008714,0.0008714
59,12492.5,0.45156,0.68452,1.07148,0.81564,0.73684,0.66591,0.56447,0.80584,1.42967,1.62175,0.0008516,0.0008516,0.0008516
60,12593.8,0.49232,0.76839,1.12302,0.82118,0.73684,0.70583,0.58468,1.00817,1.41069,1.76918,0.0008318,0.0008318,0.0008318
61,12695.3,0.4547,0.71696,1.09103,0.85134,0.68421,0.69432,0.55306,1.17172,1.45842,1.89521,0.000812,0.000812,0.000812
