epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.233,0.69574,1.97391,1.26109,0.81599,0.80723,0.74927,0.61221,0.96045,4.31462,1.63924,0.00034,0.00034,0.00034
2,455.06,0.60152,1.32775,1.19519,0.91503,0.98033,0.95,0.7806,0.65137,3.65146,1.40201,0.00069307,0.00069307,0.00069307
3,678.677,0.60495,1.11336,1.2001,0.56454,0.72727,0.63151,0.27463,1.59806,3.14102,1.9204,0.00103901,0.00103901,0.00103901
4,910.135,0.67599,1.10026,1.26811,0.62628,0.90909,0.82284,0.77029,0.57216,1.72401,1.25781,0.00137783,0.00137783,0.00137783
5,1138.24,0.68068,1.00442,1.27012,0.82311,0.90909,0.88881,0.64955,1.24638,1.98689,2.38556,0.00170951,0.00170951,0.00170951
6,1360.91,0.74185,0.97847,1.31153,0.93104,0.54545,0.72122,0.60059,0.96404,1.39988,2.00862,0.001901,0.001901,0.001901
7,1588.99,0.71358,1.06201,1.2877,0.88496,0.70153,0.81512,0.57905,1.23217,1.51311,2.06894,0.0018812,0.0018812,0.0018812
8,1802.38,0.75114,0.98842,1.30914,0.82739,0.63636,0.62456,0.37663,1.313,2.08886,1.92829,0.0018614,0.0018614,0.0018614
9,2032.95,0.71714,0.9985,1.303,0.90116,0.8298,0.89697,0.55747,1.60158,2.37987,2.57134,0.0018416,0.0018416,0.0018416
10,2253.41,0.66938,0.92685,1.26702,0.83598,0.81818,0.8812,0.60547,1.3171,1.57951,3.00918,0.0018218,0.0018218,0.0018218
11,2462.08,0.63381,0.83866,1.24482,0.99066,0.90909,0.90523,0.70509,1.02931,1.3763,2.05564,0.001802,0.001802,0.001802
12,2674.43,0.57635,0.79908,1.24498,0.55127,0.72727,0.62045,0.56274,0.99796,2.26737,1.73295,0.0017822,0.0017822,0.0017822
13,2892.84,0.57814,0.83644,1.18503,1,0.5202,0.60132,0.53122,1.03103,2.56822,1.72613,0.0017624,0.0017624,0.0017624
14,3111.59,0.60958,0.83909,1.18304,0.95769,0.81818,0.89266,0.77774,0.64895,1.31332,1.59694,0.0017426,0.0017426,0.0017426
15,3324.1,0.59092,0.78394,1.20243,1,0.90379,0.90516,0.86921,0.59453,1.49604,1.39735,0.0017228,0.0017228,0.0017228
16,3511.49,0.59462,0.85262,1.18523,0.89062,0.81818,0.81088,0.70991,0.7124,1.35231,1.67992,0.001703,0.001703,0.001703
17,3691.78,0.57097,0.81458,1.17038,0.80928,0.81818,0.79176,0.70226,0.71637,1.10836,1.76187,0.0016832,0.0016832,0.0016832
18,3869.42,0.59069,0.79045,1.2098,0.76705,0.90909,0.73632,0.5305,0.6792,1.6504,1.43491,0.0016634,0.0016634,0.0016634
19,4033.27,0.56192,0.77425,1.20469,0.63102,1,0.73811,0.52985,0.6467,1.08116,1.25252,0.0016436,0.0016436,0.0016436
20,4197.86,0.55186,0.73417,1.1791,0.81916,0.90909,0.88158,0.7669,0.72753,0.79813,1.48891,0.0016238,0.0016238,0.0016238
21,4361.67,0.534,0.77479,1.17902,0.98641,0.72727,0.8442,0.74767,0.5569,0.70364,1.27377,0.001604,0.001604,0.001604
22,4525.57,0.59315,0.75978,1.1905,0.89229,0.90909,0.88932,0.79594,0.69118,0.57736,1.46602,0.0015842,0.0015842,0.0015842
23,4689.98,0.56727,0.76881,1.1651,1,0.88429,0.90566,0.75334,0.80826,0.65975,1.60971,0.0015644,0.0015644,0.0015644
24,4853.63,0.59757,0.78874,1.20869,0.90769,0.89505,0.89727,0.8338,0.60388,0.86257,1.26551,0.0015446,0.0015446,0.0015446
25,5017.3,0.58178,0.83023,1.1906,0.877,0.81818,0.8502,0.79757,0.57135,0.94159,1.2149,0.0015248,0.0015248,0.0015248
26,5181.16,0.51402,0.7366,1.15717,0.93057,0.81818,0.89051,0.83394,0.54905,0.8943,1.12834,0.001505,0.001505,0.001505
27,5344.72,0.52879,0.67723,1.15487,0.99083,0.90909,0.90569,0.70509,1.02179,0.87634,1.70408,0.0014852,0.0014852,0.0014852
28,5509.26,0.54401,0.73624,1.16378,0.96026,0.90909,0.91978,0.86379,0.59413,0.53381,1.2968,0.0014654,0.0014654,0.0014654
29,6180.75,0.51809,0.6856,1.16061,1,0.88454,0.90547,0.79331,0.67575,0.54906,1.33245,0.0014456,0.0014456,0.0014456
30,6367.54,0.54654,0.68969,1.19085,0.83319,0.90909,0.82339,0.78788,0.57144,0.53289,1.23706,0.0014258,0.0014258,0.0014258
31,6579.33,0.50926,0.67897,1.11911,0.82617,0.90909,0.78141,0.74782,0.58985,0.60232,1.18061,0.001406,0.001406,0.001406
32,6786.92,0.4785,0.63044,1.12105,0.82672,0.90909,0.75486,0.68365,0.62376,0.61102,1.20066,0.0013862,0.0013862,0.0013862
33,6994.76,0.48846,0.66184,1.15394,0.85156,0.90909,0.8894,0.83047,0.59884,0.57192,1.19528,0.0013664,0.0013664,0.0013664
34,7169.17,0.47324,0.66075,1.11955,0.83281,0.90909,0.88921,0.87112,0.54354,0.49303,1.09751,0.0013466,0.0013466,0.0013466
35,7344.73,0.4873,0.68615,1.10282,0.84549,0.90909,0.88097,0.81825,0.6373,0.62256,1.2468,0.0013268,0.0013268,0.0013268
36,7510.43,0.44966,0.603,1.10503,0.86812,0.90909,0.90631,0.84301,0.6091,0.668,1.26105,0.001307,0.001307,0.001307
37,7674.86,0.48007,0.66971,1.14668,0.83235,0.90319,0.85681,0.77743,0.53095,0.72067,1.12096,0.0012872,0.0012872,0.0012872
38,7839.57,0.47467,0.64178,1.11403,0.83039,0.90909,0.75509,0.60185,0.84467,0.66993,1.37819,0.0012674,0.0012674,0.0012674
39,8004.5,0.45977,0.60496,1.08329,0.80534,0.81818,0.73214,0.58308,0.91639,0.82627,1.41933,0.0012476,0.0012476,0.0012476
40,8175.15,0.43712,0.63152,1.07828,0.8274,0.90909,0.75515,0.69054,0.6332,0.60718,1.25614,0.0012278,0.0012278,0.0012278
41,8341.67,0.46271,0.61732,1.13529,0.90764,0.90909,0.95464,0.74694,0.62221,0.47712,1.26775,0.001208,0.001208,0.001208
42,8508.34,0.47348,0.6016,1.10869,0.84394,1,0.98115,0.837,0.60385,0.56384,1.16459,0.0011882,0.0011882,0.0011882
43,8685.36,0.44107,0.60212,1.08334,0.84565,0.99642,0.97297,0.83502,0.53293,0.66874,1.13927,0.0011684,0.0011684,0.0011684
44,8849.56,0.45287,0.64248,1.09957,0.82674,0.90909,0.89596,0.82524,0.67724,0.5273,1.2735,0.0011486,0.0011486,0.0011486
45,9014.94,0.46985,0.62375,1.08722,0.90528,0.90909,0.86474,0.79525,0.49134,0.57219,1.03859,0.0011288,0.0011288,0.0011288
46,9177.98,0.39182,0.57622,1.06533,0.87491,0.90909,0.90553,0.84448,0.60391,0.62779,1.39247,0.001109,0.001109,0.001109
47,9341.55,0.42729,0.60134,1.08567,0.83287,0.90909,0.90566,0.83838,0.61064,0.53157,1.35084,0.0010892,0.0010892,0.0010892
48,9505.81,0.43867,0.58268,1.09019,0.78787,0.90909,0.87312,0.79595,0.67198,0.6397,1.29888,0.0010694,0.0010694,0.0010694
49,9679.36,0.45149,0.61595,1.1107,0.82912,0.90909,0.85605,0.75864,0.6669,0.56902,1.2872,0.0010496,0.0010496,0.0010496
50,9886.7,0.46684,0.62838,1.10753,0.82946,0.90909,0.8731,0.79139,0.57181,0.52499,1.28784,0.0010298,0.0010298,0.0010298
51,10093.3,0.41446,0.61321,1.08075,0.89262,0.90909,0.88991,0.81218,0.57228,0.52914,1.25417,0.00101,0.00101,0.00101
52,10299.7,0.44148,0.64693,1.11078,0.88019,0.90909,0.88996,0.81742,0.6183,0.53375,1.25984,0.0009902,0.0009902,0.0009902
53,10506.3,0.4194,0.56337,1.05826,0.90239,0.90909,0.88994,0.8064,0.63658,0.59475,1.2748,0.0009704,0.0009704,0.0009704
54,10713.1,0.47285,0.59056,1.11373,0.82845,0.90909,0.87309,0.78192,0.54538,0.54309,1.20357,0.0009506,0.0009506,0.0009506
55,10920.3,0.44199,0.59419,1.10491,0.82846,0.90909,0.85556,0.78246,0.52133,0.51831,1.21075,0.0009308,0.0009308,0.0009308
56,11126.6,0.38208,0.54573,1.0643,0.82841,0.90909,0.83696,0.79988,0.49773,0.45711,1.15665,0.000911,0.000911,0.000911
57,11332.5,0.41647,0.56759,1.07343,0.8303,0.90909,0.866,0.81732,0.50877,0.45002,1.17153,0.0008912,0.0008912,0.0008912
58,14434.4,0.40926,0.56065,1.09216,0.83599,0.90909,0.85019,0.76061,0.54954,0.4889,1.17092,0.0008714,0.0008714,0.0008714
59,14638.6,0.39438,0.54674,1.0634,0.90614,0.8796,0.87482,0.8158,0.55208,0.46174,1.1859,0.0008516,0.0008516,0.0008516
60,14845.5,0.36592,0.50533,1.04438,0.90628,0.881,0.89099,0.83577,0.5518,0.466,1.18148,0.0008318,0.0008318,0.0008318
61,15052.2,0.42089,0.52845,1.06659,0.86213,0.90909,0.89054,0.819,0.54056,0.47912,1.16715,0.000812,0.000812,0.000812
62,15258.8,0.42628,0.57926,1.07439,0.82774,0.90909,0.84612,0.76865,0.52994,0.50119,1.15537,0.0007922,0.0007922,0.0007922
63,15471.7,0.38337,0.53781,1.05018,0.88102,0.90909,0.87331,0.79418,0.54213,0.49033,1.15784,0.0007724,0.0007724,0.0007724
64,15687.2,0.39262,0.53347,1.08334,0.90703,0.88851,0.87333,0.7942,0.53655,0.50306,1.24113,0.0007526,0.0007526,0.0007526
65,15900.4,0.36089,0.50511,1.05834,0.82776,0.90909,0.88213,0.8081,0.54959,0.53245,1.23706,0.0007328,0.0007328,0.0007328
66,16124.2,0.38125,0.55377,1.0463,0.82842,0.90909,0.8823,0.81055,0.53569,0.51929,1.21095,0.000713,0.000713,0.000713
67,16332.4,0.38076,0.50568,1.06539,0.82921,0.90909,0.86448,0.79512,0.54197,0.49169,1.19913,0.0006932,0.0006932,0.0006932
68,16542.4,0.37448,0.53066,1.07529,0.8292,0.90909,0.85654,0.78208,0.58953,0.49704,1.2466,0.0006734,0.0006734,0.0006734
69,16749.2,0.36877,0.53468,1.0396,0.82868,0.90909,0.87351,0.80443,0.57882,0.53392,1.24943,0.0006536,0.0006536,0.0006536
